,CONCEPT,Ambai (Yapen) [amk],Araki [akr],As [asz],Bierebo (Yevali) [bnk],Biga (Misool) [xmt],Buli [bzq],Futuna-Aniwa (Aniwa) [fut],Gimán [gzn],Irarutu [irh],Kasira (Irahutu) [irh],Lelepa [lpa],Maskelynes [klv],Minyaifuin (Gebe) [gei],Numfor [bhw],Paama (Lironesa) [pma],Pulau (Arguni) [agf],Roria [rga],Vao [vao],Waropen [wrp],Windesi Wandamen [wad]
108,shoulder,boyawa,pili-ku,,,paŋkadiɔ,maglo,pamu,paposu,fra fu,fəravo,n-pap-ŋu,ne-ᵐbatxuβeso-ᵑk,kafalɔ,radar[si],fatisi-k,aru,ᵐbili-,p̈erp̈ari-,,varabo
109,"shy, ashamed",,,,,,mai,,moi,rit dir ti,,,,,ma,,,,,niamaro,mamaya
110,skin,rerawa,huri-ku,-ani,kuluyeβe-ᵑgu,kaino,gico,kiri,kulit,rit,-rite,n-ŋal-ŋu,na-xurxeᵐbe-ᵑk,kaini,rib,hiliβe-k,urut,ɣuruɣuru,βulβulu-k,ru,rawa
111,sky,rora,,lanit,,nalowo,laŋit,raŋi,langit,ragt,ragətə,n-malβa,ma-mesaβ,ŋa,naŋe,teilaŋ,ragit,laŋet,p̈akaran,naniŋgi,rora
112,small,ketui,řaxetexɛte,gɛlɔm,tekaki,kamiaran,kòrikòri,sisi,wai,ntü,kosi,kik,kekerex,kali,baba,haβiβi,natu,ntˢontˢoron,mo-βelele,boma,katu
113,smoke,rirau,asu,kapyas,kapi miu,kaplasɔ,mamayás,ausafi,nyas,bob,ɔbə,n-asu,ne-ᵐbasu-xaᵐb,may|as,ās,eas,evas,βas-ɣoᵐbɣ,n-eh naɣaᵐb,[awu]asi,tup
114,snake,tawai,mar̃a,kɔ-k,mʷara,kok,gu,ekatutu,bau,sawat,yaka,mʷata,na-mat,bai,ikak,tetal,gor,nantˢntaraᵐp,na-mʷat,ghoro,korow
115,spider,mansai,,,,kapanɛ,kopolaw,,tapilou,baru,rara,,,p|law,kabokakin,,orier,,,rofaiwino,apopa
116,star,avaha,βiru sarasara,taun,βerue,kalamo,aitotaf,fatu,batól,tur,turə,masei,na-meso,cou,mak,hitu,atere,ðit,na-v̈ut,siwerere,siverere
117,stick/wood,ai,,a,čeki,ai,ai,rakau,tokun,e-,e,n-kas,na-xai,kai,ai,maβuliai,a,mantˢ,ne-ɣe,ai,ai
118,stone,kamiai,sule,pa,kəla-βeru,ka|pat,pāt,fatu,lai,kami,kami,βatu,ne-βat,ka|pat,keru,ahat,puat,ᵐbontˢinðað,na-v̈at,wai,rebuki
119,tail,amandau,βiči,ndəkamu,siᵑgiena-kuli,kaluo,golo,siku,walu,su,su,na-pu-n,na-ᵑkele-n,kahñu,pura[ri],aβuki-n,raʔur,βiⁿd-ne,βelaɣaune,fera,kapupui
120,that,manana,,ifɛrɛ,naŋaru,titanɛ,ca,čera,tijá,,mavi,teŋe,,tea,buro,koa keiek,tuoto,,,aimbeani,nina
121,thatch/roof,antarau,,,,sane,yataf,,yotaf,atif-,ativrɔ,,,yataf,os,,erar,,,aka,nandau
122,they,ea,nirarua,sia,lala čua,abana,sil[e],karaua,si,ir,ire,narue,kalito,sia,si,keilu,sire,ri,inire,ki,si|[at]
123,thick,tehuba,βonoxo,mtalɔ,merorolu,matɔlɔ,kapcut,matoru,kamudi,sarf,sarfə,matolu,i-metoretor,kapcit,kpor,matetel,,,mo-m̈atol,,batoyar
